rank,keyword,npscore
1,사진,1416
2,북,236
3,아동,103
4,책,53
5,머니,132
6,로봇,558
7,풀,116
8,앨범,1413
9,맥주,432
10,지도,284
11,밥,393
12,학원,265
13,커피,524
14,그림,145
15,솔루션,757
16,비디오,122
17,의약품,75
18,카페,275
19,유리,21
20,화장품,377
21,마이크,92
22,트리,36
23,마트,145
24,마켓,385
25,치킨,232
26,드론,103
27,문화재,178
28,먹거리,527
29,라디오,12
30,베스트,265
31,박스,52
32,농산물,356
33,양산,107
34,조명,339
35,배터리,138
36,양식,301
37,자전거,89
38,음료,144
39,솔,427
40,치료제,99
41,식물,124
42,칼,33
43,블록,184
44,소프트웨어,155
45,에어컨,19
46,쇼핑몰,251
47,조화,208
48,돌,26
49,충전,167
50,편지,168
51,신약,160
52,원료,28
53,와인,324
54,아카데미,388
55,창,163
56,자사,71
57,신곡,388
58,케이블,51
59,케이스,324
60,섬유,51
61,포스터,188
62,비타민,150
63,허브,290
64,향,270
65,전지,135
66,소프트,134
67,무선,110
68,고기,115
70,센서,63
69,시트,60
71,도서,219
72,간식,208
73,정수기,229
74,연료,17
75,필터,105
76,냉장고,198
77,용지,46
78,우유,159
79,빵,44
80,소스,237
81,신차,107
82,스피커,118
83,메모리,65
84,필름,138
85,티셔츠,249
86,컴퍼니,134
87,단백질,55
88,원단,113
89,약식,78
90,네트,144
91,레스토랑,57
92,발판,125
93,선풍기,152
94,수산물,95
95,신발,31
96,간장,183
97,연,110
98,안주,127
99,얼음,87
100,피자,152
101,위스키,137
102,텐트,84
103,렌즈,70
104,반찬,202
105,크림,118
106,벨트,70
107,적금,126
108,농기계,109
109,여행사,16
111,단말기,25
110,시계,42
112,디저트,245
113,라면,87
114,야식,127
115,문단,20
116,김치,176
117,인형,104
118,소주,58
119,캐피탈,89
120,아이스크림,139
121,스티커,12
122,세탁기,45
123,피아노,112
124,모형,54
125,벤,41
126,우산,127
127,이스트,46
128,소금,38
129,잎,58
130,치즈,164
131,마스크,29
132,펜,30
133,게장,128
134,레이스,117
135,도시락,119
136,모터,55
137,악기,144
138,향수,83
139,샵,122
142,로고,8
140,표지,7
141,플레이어,69
143,주스,15
144,교재,99
145,술집,16
146,징,11
147,캔,50
149,노트,21
148,잼,34
150,잡지,55
152,상품권,75
151,카트,96
153,고무,24
154,인버터,140
155,카레,105
156,식량,21
157,먹,40
158,머신,107
159,공구,95
160,음반,75
161,셔츠,99
162,계란,43
163,젤리,130
164,식기,23
166,당면,43
165,체크카드,92
167,화약,56
168,베이스,105
169,교복,29
170,기념품,109
171,로켓,27
173,버거,128
172,전광판,61
174,코트,108
175,곱창,101
176,과자,90
177,모래,36
178,안경,34
179,매거진,134
180,노트북,9
181,분수,61
182,선글라스,90
183,오일,65
184,육수,120
185,잔,22
186,홍삼,105
187,생선,14
188,오디오,124
189,렌트카,159
192,가전제품,25
191,보일러,37
190,코어,16
193,클리닉,3
194,드레스,118
195,각도,10
196,매트,74
198,김밥,47
197,소비재,7
199,마사지,92
200,매직,64
202,소품,103
201,트로피,50
204,건조기,80
203,밥상,72
206,씨앗,52
205,장갑,24
207,축산물,26
210,기저귀,60
209,릴레이,44
211,서예,63
208,액세서리,95
212,원피스,116
213,스낵,118
214,스테이크,118
215,견과,10
216,세단,68
217,파이,68
218,설탕,36
220,낙지,44
219,첼로,124
221,캐리어,70
222,바지,1
223,에어,64
224,샐러드,82
226,식탁,21
225,프린터,65
227,두부,78
229,떡,59
228,포크,77
230,연료전지,99
231,그림책,104
232,달걀,8
234,곡물,11
233,쿠션,77
235,막걸리,16
236,펀치,48
237,한식,74
238,펜션,1
239,아쿠아,49
240,도어,79
241,돼지고기,31
243,레인지,73
242,책자,69
245,스탬프,118
244,티비,12
246,브라,41
247,다이오드,18
248,사은품,85
249,한약,15
250,양념,60
251,소고기,55
252,아몬드,105
253,스위치,36
254,고추장,63
255,책상,7
256,패드,59
257,휠,92
259,메달,41
258,치맥,45
260,감사패,66
262,리뉴,76
261,장난감,51
264,남방,28
263,블럭,74
265,이어폰,60
267,매니지먼트,13
269,삼계탕,40
266,지지대,57
268,튜브,42
271,비어,34
270,삼겹살,72
272,실크,44
273,수영복,69
274,시제품,59
277,비료,25
275,스프,59
278,요트,74
276,울타리,17
279,한지,3
280,해산물,35
281,그릴,56
282,밀가루,11
283,보청기,11
284,케이크,19
287,실리콘,23
285,제과,72
286,퍼즐,44
288,스컬,57
290,냉각,14
289,캡슐,13
291,샌드위치,28
292,핀,19
293,돗자리,4
295,베드,31
294,케이프,20
299,공예품,79
298,드럼,47
297,연습장,55
296,침구,51
302,레이더,15
301,보드,32
300,필러,52
306,내비게이션,21
305,디바이스,15
304,비단,21
303,파이프,15
307,만두,58
308,봉지,30
309,한복,50
310,갈비,73
311,밸브,23
315,깻잎,22
314,샴푸,19
316,슈즈,86
313,짬뽕,62
318,초콜릿,36
317,축구공,44
312,충전기,23
319,데스크,35
322,라떼,67
321,물총,87
324,물티슈,23
323,사지,3
320,청소기,42
325,문고,30
326,샴페인,50
327,우의,61
328,중식,59
329,슈트,72
330,식료품,6
331,식초,28
332,신상품,55
333,상조,39
335,접시,24
334,정장,40
337,미러,42
341,밑반찬,74
340,생맥주,26
339,쿠키,63
338,파스타,60
336,화분,26
343,스탠드,33
345,트렁크,31
342,프로야구,4
344,하이패스,17
346,약초,26
348,드라이버,37
347,활,31
351,바이올린,58
353,서적,17
350,야쿠르트,78
352,짜장면,34
349,티슈,20
356,비데,44
354,파우더,52
355,팬츠,67
357,강정,24
359,원두,60
358,자판기,10
361,스포츠카,39
360,아메리카노,39
362,전문지,1
363,칫솔,10
365,발명품,65
364,샌들,13
366,스킨,46
367,연사,40
369,블라인드,12
370,솜,26
368,에세이,24
371,계량기,3
373,잡화,25
372,콘도,20
377,스틱,33
376,유모차,29
375,제습기,6
374,프로젝터,62
380,떡볶이,35
379,스프링,7
378,칵테일,45
381,팔찌,49
383,빙수,50
384,요구르트,52
382,초밥,64
391,가이드북,19
385,스푼,57
386,식빵,61
392,안테나,43
388,양말,20
387,양봉,18
389,칸막이,23
393,팩스,28
390,항모,51
394,파전,10
395,니트,11
397,가야금,34
398,비빔밥,46
396,캔디,47
400,교구,51
401,머드,53
399,붓,10
404,도우,44
405,반지,6
406,전환기,16
402,캔버스,21
403,튀김,44
412,비키니,46
409,상패,47
408,수은,27
407,오븐,35
411,지휘봉,2
413,페리,32
410,하프,3
416,롤러,46
414,롤러코스터,4
415,현미,21
419,교통카드,41
417,모시,49
422,버터,21
420,비누,26
418,키보드,29
421,포차,9
425,강판,2
423,벽지,12
426,프라이팬,2
424,후드,14
427,본드,37
428,국밥,13
429,미역국,53
432,사단법인,27
433,쌈,30
430,젤,28
431,히터,33
438,매화,35
434,무스,4
440,본방,26
436,쇠고기,12
435,시럽,18
439,어벤져스,14
437,키오스,21
447,목걸이,18
443,반바지,5
442,색소폰,46
446,음극,25
444,칼라,6
445,핫도그,45
441,화장지,27
448,가속기,46
449,도자기,42
452,병동,7
450,축구단,39
454,커튼,30
453,클렌징,42
451,토이,45
455,바늘,15
458,슬립,3
457,여행기,30
456,테이프,4
460,발전기,14
461,브런치,39
459,서커스,13
462,패딩,42
466,샌드,45
464,서바이벌,22
465,시소,6
463,콘센트,8
467,견인차,13
468,된장,14
470,워커,3
469,초코,27
472,핸드백,28
471,헤드셋,17
474,그네,4
475,영양제,13
476,주먹밥,11
473,클립,30
477,파라솔,16
480,메가폰,6
479,불고기,39
481,소시지,35
478,에스프레소,41
491,경차,10
485,물회,44
482,보온,24
486,볶음밥,44
489,수확기,32
487,스캐너,23
483,우표,44
484,치약,12
488,코다리,46
490,파스,18
492,자동변속기,29
493,지뢰,9
495,판화,39
494,픽업트럭,33
497,꽃다발,32
501,망원경,7
500,머리띠,31
499,물감,10
496,아로마,36
502,자갈,10
498,퇴비,2
504,금속관,33
503,동화책,29
509,물휴지,21
507,소총,7
505,웨딩드레스,19
506,클라리넷,27
508,하모니카,32
511,스킨케어,22
510,시리얼,20
512,유제품,4
513,구관,21
518,권총,3
516,등심,13
514,머플러,29
517,수동변속기,37
515,장갑차,25
523,가면,13
520,고춧가루,16
529,로션,10
527,수트,26
521,연단,15
526,엽서,31
524,우동,11
519,카시트,32
528,컵라면,6
522,타악기,22
525,하의,18
530,나사,12
534,낚싯대,9
532,서스펜션,27
531,소켓,22
535,어항,7
533,전자책,32
538,계기판,8
539,레일바이크,26
537,묘목,2
536,스케치북,36
540,참기름,6
541,침구류,28
542,한약재,5
547,가슴살,29
544,물병,19
548,블라우스,23
543,여성복,31
545,이유식,19
546,팽이,21
557,가운,4
553,닭다리,34
549,선철,1
551,아크릴,19
554,원석,20
558,자장면,20
552,조각상,10
550,캠핑카,36
556,항아리,8
555,후추,10
559,바구니,11
560,방충망,5
561,엠블럼,21
563,토너,27
562,헤드폰,21
571,강철,3
