"item","delta_p1","delta_r1","delta_p2","delta_r2"
"kf94",-234038,-2441,-11947,-1744
"차량용무선충전거치대",2052,620,560,340
"스타벅스텀블러",60,9,-491,-183
"안마기",-21152,-5131,8529,3387
"차량용핸드폰거치대",-24865,-6484,23472,3706
"전자담배",-5532,-1089,6726,1745
"아이스박스",-255125,-3172,-52800,-4433
"식기건조대",-597,-431,476,116
"차량용방향제",-6321,127,3694,389
"빨래건조대",-3613,2010,-15307,-3406
"케인",NA,NA,NA,NA
"텀블러",-697,-481,20212,3929
"칼리번",3,7,11,1
"빨래바구니",348,110,-848,-264
"차량용공기청정기",-2725,-643,2588,464
"cctv",4842,976,-3848,-643
"브라운체온계",-555,-135,NA,NA
"아이엠듀cg9",0,0,0,0
"제습제",-17648,-5676,-9214,-3139
"아이엠듀차량용충전기",1,0,1,0
"체중계",-62170,-17656,9090,4738
"비데",-1162,-113,-1364,-472
"멀티탭",-387584,-52500,-169148,-27654
"주방세제",1234,247,-14209,-4574
"치약",25032,7828,62820,8589
"음식물쓰레기통",-1736,-1039,-10294,-1704
"캣타워",-52,-18,-351,-146
"코지마발마사지기",3,0,3,0
"안마의자",374,119,-658,-287
"원터치모기장",-1311,-281,-2654,-765
"닥터독사료",0,0,0,0
"옷걸이",838273,7162,26141,7570
"방향제",9935,5960,-44320,-12791
"통풍시트",-41109,-8281,7881,409
"가정용분리수거함",1123,-1,-2097,-323
"a4용지",122569,21634,NA,NA
"차량용햇빛가리개",-1048,-610,5192,1171
"스탠리텀블러",-7,-2,13,-7
"리빙박스",-37377,-1529,-215846,-2655
"모기장",-16475,2366,35470,3565
"고양이정수기",41,10,-4,1
"손목보호대",-15291,-2501,-33063,-2163
"아이엠듀공기청정기",0,0,0,0
"쿤달치약",0,1,0,0
"드론",-2013,-329,2440,676
"아스파이어avp",14,7,11,0
"아이엠듀차량용태블릿헤드레스트",0,0,1,0
"쓰레기통",-31894,-4832,12906,2806
"아이엠듀차량용공기청정기",0,0,0,0
"전자담배액상",-4980,-279,-1872,-533
"종이컵",30014,2553,NA,NA
"바헤르츠차량용무선충전기",0,0,0,0
"수저세트",17064,493,58128,5269
"수건",144166,244,-204513,-3765
"아이엠듀차량용무선충전기",0,0,0,0
"예초기",459,151,-1211,-380
"바헤르츠듀얼차량용고속충전기",0,0,0,0
"아이스쿨러",NA,NA,NA,NA
"디지털피아노",-2767,-866,732,340
"분리수거함",1376,-306,-2798,-192
"휴대폰거치대",52454,11125,NA,NA
"아이엠듀c-11",0,0,0,0
"아이엠듀햇빛가리개",0,0,0,0
"몬스터엑스팟",6,2,30,2
"차량무선충전거치대",-1805,-681,1198,651
"다우니",-4652,-1419,1148,874
"차량용휴대폰거치대",-14577,-4302,20440,4700
"트렁크정리함",-750,-2041,1684,-156
"강아지집",-9189,-3487,-3785,-1425
"차량용선풍기",-1068,-166,-1667,-288
"비치타올",-29,58,NA,NA
"금고",125,74,-2542,-490
"아이엠듀차량용거치대",1,0,2,0
"화분",-28974,-1349,-65637,-19825
"물먹는하마",0,0,NA,NA
"와이퍼",-7594,2362,NA,NA
"재활용분리수거함",2898,264,407,557
"머니건",NA,NA,NA,NA
"질레트면도날",-9582,-2569,-8764,-2082
"보드게임",105,-356,3221,2263
"차량방향제",-2384,-205,24041,2820
"그릇세트",556,269,12141,2507
"라탄바구니",-6152,-227,5788,766
"차량용냉장고",-169,-45,NA,NA
"강아지쿨매트",NA,NA,NA,NA
"포트메리온",NA,NA,NA,NA
"스터디플래너",NA,NA,NA,NA
"양념통",NA,NA,NA,NA
"욕실선반",4268,1136,3453,26
"고양이화장실",146,-18,-1483,-462
"샤워기헤드",-24837,-6453,4472,-1235
"무릎보호대",1567,-512,-108,191
"프라이팬",NA,NA,NA,NA
"독서대",-2744,-667,-364,30
"우리나라지도보기",0,0,2,0
"차량용목쿠션",NA,NA,NA,NA
"다우니섬유유연제",-9595,-2283,36578,7241
"두루마리휴지",-7587,-424,NA,NA
"샤워기필터",NA,NA,NA,NA
"휴지통",NA,NA,NA,NA
"강아지우비",NA,NA,NA,NA
"포타맥스아이스박스",NA,NA,NA,NA
"칼림바",NA,NA,NA,NA
"강아지배변패드",NA,NA,6553,2558
"강아지계단",NA,NA,26980,303
"도마",NA,NA,5864,672
"필통",NA,NA,33049,4490
"발마사지기",NA,NA,-5666,-1498
"usb멀티탭",NA,NA,721,279
"수납정리함",NA,NA,115096,10977
"강아지패드",NA,NA,4227,1475
"페브리즈화장실용",NA,NA,NA,NA
"아이언맨피규어",NA,NA,NA,NA
"아이나비공기청정기",NA,NA,NA,NA
"시크룩차량용거치대",NA,NA,NA,NA
"건담",NA,NA,NA,NA
"냄비세트",NA,NA,NA,NA
"차량용초고속오아거치대",NA,NA,NA,NA
"실내공기정화식물",NA,NA,NA,NA
"어항",NA,NA,NA,NA
