"item","rank25","purchase25","review25","rank26","purchase26","review26","rank27","purchase27","review27","delta_p1","delta_r1","delta_p2","delta_r2"
"kf94",1,1209077,63406,1,975039,60965,1,963092,59221,-234038,-2441,-11947,-1744
"차량용무선충전거치대",2,49950,17818,2,52002,18438,4,52562,18778,2052,620,560,340
"스타벅스텀블러",3,9993,2986,4,10053,2995,3,9562,2812,60,9,-491,-183
"안마기",4,305763,84083,3,284611,78952,2,293140,82339,-21152,-5131,8529,3387
"차량용핸드폰거치대",5,329331,96560,5,304466,90076,6,327938,93782,-24865,-6484,23472,3706
"전자담배",6,247629,32631,8,242097,31542,8,248823,33287,-5532,-1089,6726,1745
"아이스박스",7,2501980,84004,9,2246855,80832,9,2194055,76399,-255125,-3172,-52800,-4433
"식기건조대",8,235195,70670,6,234598,70239,7,235074,70355,-597,-431,476,116
"차량용방향제",9,930254,121948,10,923933,122075,14,927627,122464,-6321,127,3694,389
"빨래건조대",10,539304,162189,7,535691,164199,5,520384,160793,-3613,2010,-15307,-3406
"케인",11,11682,3920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"텀블러",12,403837,72105,12,403140,71624,12,423352,75553,-697,-481,20212,3929
"칼리번",13,507,114,14,510,121,17,521,122,3,7,11,1
"빨래바구니",14,67438,15852,31,67786,15962,28,66938,15698,348,110,-848,-264
"차량용공기청정기",15,43583,15258,13,40858,14615,15,43446,15079,-2725,-643,2588,464
"cctv",16,259686,34022,11,264528,34998,13,260680,34355,4842,976,-3848,-643
"브라운체온계",17,154048,27994,17,153493,27859,NA,NA,NA,-555,-135,NA,NA
"아이엠듀cg9",18,1,1,19,1,1,11,1,1,0,0,0,0
"제습제",19,416516,114798,15,398868,109122,16,389654,105983,-17648,-5676,-9214,-3139
"아이엠듀차량용충전기",20,4984,1497,22,4985,1497,10,4986,1497,1,0,1,0
"체중계",21,529781,148053,26,467611,130397,23,476701,135135,-62170,-17656,9090,4738
"비데",22,385228,104028,23,384066,103915,19,382702,103443,-1162,-113,-1364,-472
"멀티탭",23,2395323,399825,16,2007739,347325,26,1838591,319671,-387584,-52500,-169148,-27654
"주방세제",24,708291,196397,21,709525,196644,21,695316,192070,1234,247,-14209,-4574
"치약",25,1123503,289736,24,1148535,297564,24,1211355,306153,25032,7828,62820,8589
"음식물쓰레기통",26,112817,29435,25,111081,28396,31,100787,26692,-1736,-1039,-10294,-1704
"캣타워",27,40518,12345,18,40466,12327,22,40115,12181,-52,-18,-351,-146
"코지마발마사지기",28,3000,657,20,3003,657,20,3006,657,3,0,3,0
"안마의자",29,73337,27144,28,73711,27263,25,73053,26976,374,119,-658,-287
"원터치모기장",30,357314,83175,45,356003,82894,42,353349,82129,-1311,-281,-2654,-765
"닥터독사료",31,0,0,32,0,0,29,0,0,0,0,0,0
"옷걸이",32,2097913,267574,29,2936186,274736,33,2962327,282306,838273,7162,26141,7570
"방향제",33,2003840,260765,27,2013775,266725,18,1969455,253934,9935,5960,-44320,-12791
"통풍시트",34,269984,61206,30,228875,52925,27,236756,53334,-41109,-8281,7881,409
"가정용분리수거함",35,21567,5145,34,22690,5144,30,20593,4821,1123,-1,-2097,-323
"a4용지",36,2769799,474784,47,2892368,496418,NA,NA,NA,122569,21634,NA,NA
"차량용햇빛가리개",37,166885,42272,59,165837,41662,78,171029,42833,-1048,-610,5192,1171
"스탠리텀블러",38,590,183,54,583,181,46,596,174,-7,-2,13,-7
"리빙박스",39,2036107,262946,40,1998730,261417,54,1782884,258762,-37377,-1529,-215846,-2655
"모기장",40,2830143,420263,57,2813668,422629,67,2849138,426194,-16475,2366,35470,3565
"고양이정수기",41,2737,910,36,2778,920,36,2774,921,41,10,-4,1
"손목보호대",42,335972,52276,64,320681,49775,71,287618,47612,-15291,-2501,-33063,-2163
"아이엠듀공기청정기",43,300,89,63,300,89,53,300,89,0,0,0,0
"쿤달치약",44,75,43,33,75,44,32,75,44,0,1,0,0
"드론",45,128288,23180,55,126275,22851,56,128715,23527,-2013,-329,2440,676
"아스파이어avp",46,2696,392,38,2710,399,49,2721,399,14,7,11,0
"아이엠듀차량용태블릿헤드레스트",47,37,13,41,37,13,41,38,13,0,0,1,0
"쓰레기통",48,506280,102684,74,474386,97852,38,487292,100658,-31894,-4832,12906,2806
"아이엠듀차량용공기청정기",49,182,45,46,182,45,63,182,45,0,0,0,0
"전자담배액상",50,189305,38768,62,184325,38489,57,182453,37956,-4980,-279,-1872,-533
"종이컵",51,3309149,627479,66,3339163,630032,NA,NA,NA,30014,2553,NA,NA
"바헤르츠차량용무선충전기",52,0,0,50,0,0,44,0,0,0,0,0,0
"수저세트",53,417863,48522,72,434927,49015,51,493055,54284,17064,493,58128,5269
"수건",54,6505513,349085,56,6649679,349329,50,6445166,345564,144166,244,-204513,-3765
"아이엠듀차량용무선충전기",55,1,0,44,1,0,40,1,0,0,0,0,0
"예초기",56,259848,38503,61,260307,38654,47,259096,38274,459,151,-1211,-380
"바헤르츠듀얼차량용고속충전기",57,2,2,51,2,2,48,2,2,0,0,0,0
"아이스쿨러",58,14668,3414,NA,NA,NA,75,14183,3419,NA,NA,NA,NA
"디지털피아노",59,68817,19255,49,66050,18389,61,66782,18729,-2767,-866,732,340
"분리수거함",60,248757,55923,77,250133,55617,55,247335,55425,1376,-306,-2798,-192
"휴대폰거치대",61,438218,112129,75,490672,123254,NA,NA,NA,52454,11125,NA,NA
"아이엠듀c-11",62,0,0,52,0,0,34,0,0,0,0,0,0
"아이엠듀햇빛가리개",63,5,1,39,5,1,35,5,1,0,0,0,0
"몬스터엑스팟",64,158,28,79,164,30,76,194,32,6,2,30,2
"차량무선충전거치대",65,53561,18926,91,51756,18245,62,52954,18896,-1805,-681,1198,651
"다우니",66,552841,175254,85,548189,173835,59,549337,174709,-4652,-1419,1148,874
"차량용휴대폰거치대",67,363783,108027,58,349206,103725,52,369646,108425,-14577,-4302,20440,4700
"트렁크정리함",68,230841,59280,99,230091,57239,65,231775,57083,-750,-2041,1684,-156
"강아지집",69,91933,26161,69,82744,22674,45,78959,21249,-9189,-3487,-3785,-1425
"차량용선풍기",70,67314,17400,88,66246,17234,88,64579,16946,-1068,-166,-1667,-288
"비치타올",71,122497,21987,95,122468,22045,NA,NA,NA,-29,58,NA,NA
"금고",72,80947,17962,86,81072,18036,68,78530,17546,125,74,-2542,-490
"아이엠듀차량용거치대",73,388,139,67,389,139,39,391,139,1,0,2,0
"화분",74,1331797,270345,53,1302823,268996,43,1237186,249171,-28974,-1349,-65637,-19825
"물먹는하마",75,0,0,60,0,0,NA,NA,NA,0,0,NA,NA
"와이퍼",76,1263092,305227,65,1255498,307589,NA,NA,NA,-7594,2362,NA,NA
"재활용분리수거함",77,223915,50807,80,226813,51071,58,227220,51628,2898,264,407,557
"머니건",78,58682,13360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"질레트면도날",79,92547,27652,37,82965,25083,70,74201,23001,-9582,-2569,-8764,-2082
"보드게임",80,279216,52668,76,279321,52312,96,282542,54575,105,-356,3221,2263
"차량방향제",81,723841,98639,90,721457,98434,80,745498,101254,-2384,-205,24041,2820
"그릇세트",82,129919,29693,92,130475,29962,72,142616,32469,556,269,12141,2507
"라탄바구니",83,29586,3408,78,23434,3181,100,29222,3947,-6152,-227,5788,766
"차량용냉장고",84,15731,4147,73,15562,4102,NA,NA,NA,-169,-45,NA,NA
"강아지쿨매트",85,13464,5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"포트메리온",86,4650,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"스터디플래너",87,5195,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양념통",88,328920,20961,NA,NA,NA,94,244198,20700,NA,NA,NA,NA
"욕실선반",89,695096,157845,84,699364,158981,60,702817,159007,4268,1136,3453,26
"고양이화장실",90,152656,25547,70,152802,25529,74,151319,25067,146,-18,-1483,-462
"샤워기헤드",91,606069,154552,82,581232,148099,82,585704,146864,-24837,-6453,4472,-1235
"무릎보호대",92,269712,59807,89,271279,59295,89,271171,59486,1567,-512,-108,191
"프라이팬",93,375816,133005,NA,NA,NA,77,379741,132709,NA,NA,NA,NA
"독서대",94,221809,46193,83,219065,45526,66,218701,45556,-2744,-667,-364,30
"우리나라지도보기",95,1017,283,42,1017,283,37,1019,283,0,0,2,0
"차량용목쿠션",96,146252,47611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"다우니섬유유연제",97,487078,151155,98,477483,148872,79,514061,156113,-9595,-2283,36578,7241
"두루마리휴지",98,489078,98355,93,481491,97931,NA,NA,NA,-7587,-424,NA,NA
"샤워기필터",99,146467,37679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"휴지통",100,484278,100073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강아지우비",NA,NA,NA,35,990,348,NA,NA,NA,NA,NA,NA,NA
"포타맥스아이스박스",NA,NA,NA,43,604,84,NA,NA,NA,NA,NA,NA,NA
"칼림바",NA,NA,NA,48,2612,944,NA,NA,NA,NA,NA,NA,NA
"강아지배변패드",NA,NA,NA,68,311563,53889,85,318116,56447,NA,NA,6553,2558
"강아지계단",NA,NA,NA,71,67107,10968,69,94087,11271,NA,NA,26980,303
"도마",NA,NA,NA,81,143286,51455,81,149150,52127,NA,NA,5864,672
"필통",NA,NA,NA,87,64176,10052,99,97225,14542,NA,NA,33049,4490
"발마사지기",NA,NA,NA,94,56619,15743,90,50953,14245,NA,NA,-5666,-1498
"usb멀티탭",NA,NA,NA,96,407818,66727,73,408539,67006,NA,NA,721,279
"수납정리함",NA,NA,NA,97,2520727,358500,93,2635823,369477,NA,NA,115096,10977
